Wall time,Step,Value
1710194480.808854,400,44.134708404541016
1710194504.3171573,2400,39.527854919433594
1710194520.8313544,4400,62.708133697509766
1710194536.9513297,6400,62.15983963012695
1710194553.003681,8400,30.05794906616211
1710194569.2112842,10400,37.828609466552734
1710194591.1738036,12400,49.57586669921875
1710194607.2722604,14400,63.42047119140625
1710194623.7595618,16400,30.04282569885254
1710194639.972496,18400,54.009830474853516
1710194656.1688323,20400,61.83496856689453
1710194678.3338807,22400,40.98833084106445
1710194694.3678293,24400,38.2623176574707
1710194710.558231,26400,51.308719635009766
1710194726.8003712,28400,50.47434616088867
1710194743.1063318,30400,54.3727912902832
1710194765.0864692,32400,48.8007926940918
1710194781.328668,34400,47.72285842895508
1710194798.016927,36400,36.86484146118164
1710194814.8521194,38400,60.65361785888672
1710194831.7703454,40400,59.261749267578125
1710194854.2142823,42400,60.81653594970703
1710194870.9970088,44400,40.05979919433594
1710194887.6278403,46400,41.51201248168945
1710194904.3483238,48400,31.917072296142578
1710194921.2128496,50400,50.795631408691406
1710194943.3834155,52400,46.85897445678711
1710194959.9775326,54400,43.11054611206055
1710194976.6334403,56400,58.2471809387207
1710194993.274309,58400,49.13764190673828
