Wall time,Step,Value
1710196078.9332287,400,39.392539978027344
1710196119.8556483,2400,48.807003021240234
1710196155.358081,4400,39.7997932434082
1710196190.9542298,6400,50.89143371582031
1710196227.020003,8400,49.92934799194336
1710196262.7762609,10400,50.477176666259766
1710196304.966248,12400,50.07001876831055
1710196340.6624393,14400,55.82405471801758
1710196376.9423134,16400,62.90289306640625
1710196412.9040587,18400,52.16212844848633
1710196448.9006116,20400,46.593528747558594
1710196490.4296436,22400,64.07322692871094
1710196526.4308505,24400,52.03289031982422
1710196562.364938,26400,56.35737228393555
1710196598.521655,28400,48.58647918701172
1710196634.3138332,30400,78.60904693603516
1710196676.4461915,32400,50.8193473815918
1710196712.5445967,34400,62.83745574951172
1710196749.4327524,36400,55.18233108520508
1710196785.331216,38400,73.31317138671875
1710196820.0596344,40400,52.640892028808594
1710196861.982115,42400,51.28154754638672
1710196897.7655263,44400,82.687255859375
1710196933.6879916,46400,67.31784057617188
1710196969.672652,48400,64.18350219726562
1710197005.4426994,50400,59.238040924072266
1710197046.4760363,52400,94.78326416015625
1710197081.517398,54400,66.26028442382812
1710197117.2520356,56400,72.77605438232422
1710197152.3839374,58400,48.70587921142578
