Wall time,Step,Value
1710195011.8583302,400,46.884559631347656
1710195034.3917727,2400,38.89067077636719
1710195050.9872313,4400,45.2181396484375
1710195067.4843295,6400,66.91649627685547
1710195084.0996673,8400,42.26076889038086
1710195100.7750082,10400,46.64762496948242
1710195122.956482,12400,65.03237915039062
1710195139.1748035,14400,46.13824462890625
1710195155.3759081,16400,43.36140060424805
1710195171.77249,18400,36.46819305419922
1710195188.0175352,20400,47.074989318847656
1710195210.0345714,22400,44.41850280761719
1710195226.3393288,24400,45.284080505371094
1710195242.6995957,26400,46.60320281982422
1710195259.5724165,28400,33.968963623046875
1710195276.0045083,30400,52.63134765625
1710195298.0433762,32400,54.0826416015625
1710195314.3227513,34400,36.01494598388672
1710195330.536577,36400,48.89153289794922
1710195346.957852,38400,53.0649528503418
1710195363.1863194,40400,55.18830108642578
1710195385.2680705,42400,64.62278747558594
1710195401.6236892,44400,33.364112854003906
1710195417.7309544,46400,42.57938003540039
1710195434.2519677,48400,47.781429290771484
1710195450.6975484,50400,35.208152770996094
1710195473.1765065,52400,47.80404281616211
1710195489.605388,54400,45.361270904541016
1710195506.0716293,56400,49.352291107177734
1710195522.740013,58400,45.56046676635742
