Wall time,Step,Value
1710197189.5488272,400,53.89506530761719
1710197231.2254424,2400,63.61741638183594
1710197267.3358376,4400,35.418033599853516
1710197302.8440573,6400,55.39030456542969
1710197338.637874,8400,47.826210021972656
1710197374.8017066,10400,52.18737030029297
1710197417.265898,12400,51.32190704345703
1710197453.5776489,14400,55.279754638671875
1710197490.4492352,16400,55.72626876831055
1710197527.0502481,18400,77.79922485351562
1710197563.184076,20400,39.954498291015625
1710197605.063686,22400,71.12322235107422
1710197641.003102,24400,73.41561889648438
1710197678.2595556,26400,62.92306900024414
1710197714.9150066,28400,53.34025573730469
1710197751.2016568,30400,64.32041931152344
1710197792.816031,32400,67.49732971191406
1710197828.6237414,34400,68.50402069091797
1710197864.7491064,36400,73.71891021728516
1710197900.6114342,38400,60.657371520996094
1710197935.8286946,40400,60.70964813232422
1710197976.630692,42400,74.12442779541016
1710198011.5490012,44400,79.8486328125
1710198047.208032,46400,68.73567199707031
1710198083.1780367,48400,44.81169891357422
1710198119.0639591,50400,84.42284393310547
1710198160.3443775,52400,75.28295135498047
1710198195.7131228,54400,62.13544464111328
1710198230.8728676,56400,74.7102279663086
1710198265.8756752,58400,76.05435180664062
