Wall time,Step,Value
1710195541.0328677,400,44.3292236328125
1710195563.2079687,2400,51.80752182006836
1710195579.357108,4400,43.84015655517578
1710195595.462978,6400,48.66423797607422
1710195611.5940828,8400,44.95457458496094
1710195627.690558,10400,58.413753509521484
1710195650.2859814,12400,44.386253356933594
1710195666.901185,14400,38.823402404785156
1710195683.5874665,16400,42.97972869873047
1710195699.829268,18400,51.6237907409668
1710195716.0489206,20400,51.99140548706055
1710195738.112928,22400,49.83139419555664
1710195754.6072156,24400,43.212528228759766
1710195771.2961144,26400,32.27937316894531
1710195787.8969452,28400,42.36249542236328
1710195804.547225,30400,29.201967239379883
1710195827.3401628,32400,46.1109504699707
1710195843.95043,34400,55.31171798706055
1710195861.0621638,36400,45.67619705200195
1710195877.845806,38400,35.652931213378906
1710195894.5469694,40400,37.800025939941406
1710195917.1281433,42400,46.751461029052734
1710195933.7393625,44400,13.150260925292969
1710195950.5155215,46400,47.199371337890625
1710195967.1436381,48400,44.3019905090332
1710195983.824525,50400,42.462860107421875
1710196006.6080866,52400,53.09151840209961
1710196023.1958003,54400,26.665359497070312
1710196039.8696294,56400,38.75593185424805
1710196056.4916072,58400,59.514991760253906
